Starting Container
 INFO  Accepting connections at http://0.0.0.0:80
 HTTP  3/29/2026 4:16:13 PM 100.64.0.8 Returned 304 in 7 ms
 HTTP  3/29/2026 4:16:13 PM 100.64.0.7 GET /assets/FederationsList-DB2yr5en.css
 HTTP  3/29/2026 4:16:13 PM 100.64.0.16 Returned 304 in 6 ms
 HTTP  3/29/2026 4:16:13 PM 100.64.0.10 Returned 304 in 9 ms
 HTTP  3/29/2026 4:16:13 PM 100.64.0.9 Returned 304 in 8 ms
 HTTP  3/29/2026 4:16:13 PM 100.64.0.12 GET /assets/trash-duvB1lHU.js
 HTTP  3/29/2026 4:16:13 PM 100.64.0.13 Returned 304 in 8 ms
 HTTP  3/29/2026 4:16:13 PM 100.64.0.7 Returned 304 in 5 ms
 HTTP  3/29/2026 4:16:13 PM 100.64.0.17 GET /assets/index-jdZuznQM.css
 HTTP  3/29/2026 4:16:13 PM 100.64.0.15 Returned 304 in 5 ms
 HTTP  3/29/2026 4:16:13 PM 100.64.0.15 Returned 304 in 5 ms
 HTTP  3/29/2026 4:16:13 PM 100.64.0.17 Returned 304 in 3 ms
 HTTP  3/29/2026 4:16:13 PM 100.64.0.17 GET /assets/SeasonsList-BtcJHkrQ.js
 HTTP  3/29/2026 4:16:13 PM 100.64.0.13 Returned 304 in 3 ms
 HTTP  3/29/2026 4:16:13 PM 100.64.0.12 GET /assets/PeriodEditModal-CQtHIeMt.js
 HTTP  3/29/2026 4:16:13 PM 100.64.0.12 Returned 304 in 3 ms
 HTTP  3/29/2026 4:16:13 PM 100.64.0.13 GET /assets/useModalState-BtL3XrmR.js
 HTTP  3/29/2026 4:16:13 PM 100.64.0.14 GET /assets/activities-DYo9KJOZ.js
 HTTP  3/29/2026 4:16:13 PM 100.64.0.13 Returned 304 in 3 ms
 HTTP  3/29/2026 4:16:13 PM 100.64.0.9 Returned 304 in 3 ms
 HTTP  3/29/2026 4:16:13 PM 100.64.0.15 GET /assets/UsersList-hpsqVM_J.js
 HTTP  3/29/2026 4:16:13 PM 100.64.0.12 Returned 304 in 4 ms
 HTTP  3/29/2026 4:16:13 PM 100.64.0.12 GET /assets/TeamsList-DoSwRA4d.js
 HTTP  3/29/2026 4:16:13 PM 100.64.0.14 Returned 304 in 3 ms
 HTTP  3/29/2026 4:16:13 PM 100.64.0.12 GET /assets/MatchCreateModal-BREa2xXb.css
 HTTP  3/29/2026 4:16:13 PM 100.64.0.7 Returned 304 in 4 ms
 HTTP  3/29/2026 4:16:13 PM 100.64.0.9 GET /assets/index-BZvp4unj.js
 HTTP  3/29/2026 4:16:13 PM 100.64.0.9 Returned 304 in 4 ms
 HTTP  3/29/2026 4:16:13 PM 100.64.0.12 Returned 304 in 3 ms
 HTTP  3/29/2026 4:16:13 PM 100.64.0.13 GET /assets/DirectoryTableShell-D85rav9I.css
 HTTP  3/29/2026 4:16:13 PM 100.64.0.17 GET /assets/SeasonsList-b1JmiQP3.css
 HTTP  3/29/2026 4:16:13 PM 100.64.0.12 Returned 304 in 38 ms
 HTTP  3/29/2026 4:16:13 PM 100.64.0.6 GET /assets/CompetitionsList-BlqJ17cS.css
 HTTP  3/29/2026 4:16:13 PM 100.64.0.15 Returned 304 in 3 ms
 HTTP  3/29/2026 4:16:13 PM 100.64.0.18 GET /assets/PeriodEditModal-J--J0n1G.css
 HTTP  3/29/2026 4:16:13 PM 100.64.0.17 GET /assets/CompetitionsList-DIuFDBvQ.js
 HTTP  3/29/2026 4:16:13 PM 100.64.0.15 Returned 304 in 3 ms
 HTTP  3/29/2026 4:16:13 PM 100.64.0.12 Returned 304 in 3 ms
 HTTP  3/29/2026 4:16:13 PM 100.64.0.11 Returned 304 in 2 ms
 HTTP  3/29/2026 4:16:13 PM 100.64.0.15 GET /assets/UserEditModal-BAchRxjb.js
 HTTP  3/29/2026 4:16:13 PM 100.64.0.17 Returned 304 in 3 ms
 HTTP  3/29/2026 4:16:13 PM 100.64.0.17 Returned 304 in 2 ms
 HTTP  3/29/2026 4:16:13 PM 100.64.0.12 GET /assets/MatchesList-wrJeUeAs.js
 HTTP  3/29/2026 4:16:13 PM 100.64.0.18 Returned 304 in 2 ms
 HTTP  3/29/2026 4:16:13 PM 100.64.0.6 Returned 304 in 37 ms
 HTTP  3/29/2026 4:16:13 PM 100.64.0.15 GET /assets/UserEditModal-WcRDVBD0.css
 HTTP  3/29/2026 4:16:13 PM 100.64.0.17 Returned 304 in 39 ms
 HTTP  3/29/2026 4:16:13 PM 100.64.0.11 GET /assets/index-D2htnDlH.js
 HTTP  3/29/2026 4:16:13 PM 100.64.0.15 Returned 304 in 40 ms
 HTTP  3/29/2026 4:16:13 PM 100.64.0.11 GET /assets/PageContent-D6x5wym0.js.map
 HTTP  3/29/2026 4:16:13 PM 100.64.0.15 GET /assets/DirectoryPage-Bl2NURD4.js.map
 HTTP  3/29/2026 4:16:13 PM 100.64.0.15 GET /assets/design-system-CtoTmaeJ.js.map
 HTTP  3/29/2026 4:16:13 PM 100.64.0.15 GET /assets/PageHeader-CP754XLU.js.map
 HTTP  3/29/2026 4:16:13 PM 100.64.0.18 GET /assets/ProjectEditModal-b1VCcOZ0.js.map
 HTTP  3/29/2026 4:16:13 PM 100.64.0.12 GET /assets/ClubsList-BZAs99_0.js.map
 HTTP  3/29/2026 4:16:13 PM 100.64.0.11 Returned 304 in 3 ms
 HTTP  3/29/2026 4:16:13 PM 100.64.0.15 Returned 304 in 3 ms
 HTTP  3/29/2026 4:16:13 PM 100.64.0.15 Returned 304 in 3 ms
 HTTP  3/29/2026 4:16:13 PM 100.64.0.15 Returned 304 in 3 ms
 HTTP  3/29/2026 4:16:13 PM 100.64.0.18 Returned 304 in 2 ms
 HTTP  3/29/2026 4:16:13 PM 100.64.0.12 Returned 304 in 2 ms
 HTTP  3/29/2026 4:16:13 PM 100.64.0.12 GET /assets/CompetitionsList-DIuFDBvQ.js.map
 HTTP  3/29/2026 4:16:13 PM 100.64.0.5 GET /assets/SeasonsList-BtcJHkrQ.js.map
 HTTP  3/29/2026 4:16:13 PM 100.64.0.5 Returned 304 in 1 ms
 HTTP  3/29/2026 4:16:13 PM 100.64.0.12 Returned 304 in 3 ms
 HTTP  3/29/2026 4:16:13 PM 100.64.0.15 GET /assets/UsersList-hpsqVM_J.js.map
 HTTP  3/29/2026 4:16:13 PM 100.64.0.15 GET /assets/index-BZvp4unj.js.map
 HTTP  3/29/2026 4:16:13 PM 100.64.0.7 GET /assets/TeamsList-DoSwRA4d.js.map
 HTTP  3/29/2026 4:16:13 PM 100.64.0.12 GET /assets/useModalState-BtL3XrmR.js.map
 HTTP  3/29/2026 4:16:13 PM 100.64.0.15 GET /assets/MatchEditModal-eyzDavMP.js.map
 HTTP  3/29/2026 4:16:13 PM 100.64.0.12 GET /assets/ProjectCreateModal-CeNy81Os.js.map
 HTTP  3/29/2026 4:16:13 PM 100.64.0.17 GET /assets/DirectoryTableShell-9_GIhFpl.js.map
 HTTP  3/29/2026 4:16:13 PM 100.64.0.15 GET /assets/activities-DYo9KJOZ.js.map
 HTTP  3/29/2026 4:16:13 PM 100.64.0.12 GET /assets/FederationsList-Ci9L8Mcv.js.map
 HTTP  3/29/2026 4:16:13 PM 100.64.0.9 GET /assets/MatchesList-wrJeUeAs.js.map
 HTTP  3/29/2026 4:16:13 PM 100.64.0.14 GET /assets/permissions-BDfNhM4Q.js.map
 HTTP  3/29/2026 4:16:13 PM 100.64.0.11 GET /assets/Card-Bn-DU7fp.js.map
 HTTP  3/29/2026 4:16:13 PM 100.64.0.17 GET /assets/DirectoryPremium.module-CFLX-L3a.js.map
 HTTP  3/29/2026 4:16:13 PM 100.64.0.6 GET /assets/MatchCreateModal-DjGSgVrX.js.map
 HTTP  3/29/2026 4:16:13 PM 100.64.0.13 GET /assets/PeriodEditModal-CQtHIeMt.js.map
 HTTP  3/29/2026 4:16:13 PM 100.64.0.18 GET /assets/index-D2htnDlH.js.map
 HTTP  3/29/2026 4:16:13 PM 100.64.0.17 GET /assets/trash-duvB1lHU.js.map
 HTTP  3/29/2026 4:16:13 PM 100.64.0.12 GET /assets/UserEditModal-BAchRxjb.js.map
 HTTP  3/29/2026 4:16:13 PM 100.64.0.9 GET /assets/OrganisationDetailModal-Dvf1By76.js.map
 HTTP  3/29/2026 4:16:13 PM 100.64.0.18 Returned 304 in 8 ms
 HTTP  3/29/2026 4:16:13 PM 100.64.0.12 Returned 304 in 6 ms
 HTTP  3/29/2026 4:16:13 PM 100.64.0.7 Returned 304 in 6 ms
 HTTP  3/29/2026 4:16:13 PM 100.64.0.13 Returned 304 in 7 ms
 HTTP  3/29/2026 4:16:13 PM 100.64.0.17 Returned 304 in 8 ms
 HTTP  3/29/2026 4:16:13 PM 100.64.0.6 Returned 304 in 7 ms
 HTTP  3/29/2026 4:16:13 PM 100.64.0.8 GET /assets/MatchDetailModal-D0491XwP.js.map
 HTTP  3/29/2026 4:16:13 PM 100.64.0.14 Returned 304 in 6 ms
 HTTP  3/29/2026 4:16:13 PM 100.64.0.15 Returned 304 in 7 ms
 HTTP  3/29/2026 4:16:13 PM 100.64.0.12 GET /assets/OrganisationCreateModal-Cm5DhM4U.js.map
 HTTP  3/29/2026 4:16:13 PM 100.64.0.12 Returned 304 in 7 ms
 HTTP  3/29/2026 4:16:13 PM 100.64.0.15 Returned 304 in 8 ms
 HTTP  3/29/2026 4:16:13 PM 100.64.0.15 Returned 304 in 9 ms
 HTTP  3/29/2026 4:16:13 PM 100.64.0.12 Returned 304 in 8 ms
 HTTP  3/29/2026 4:16:13 PM 100.64.0.11 Returned 304 in 8 ms
 HTTP  3/29/2026 4:16:13 PM 100.64.0.15 Returned 304 in 11 ms
 HTTP  3/29/2026 4:16:13 PM 100.64.0.17 Returned 304 in 7 ms
 HTTP  3/29/2026 4:16:13 PM 100.64.0.17 Returned 304 in 8 ms
 HTTP  3/29/2026 4:16:13 PM 100.64.0.9 Returned 304 in 8 ms
 HTTP  3/29/2026 4:16:13 PM 100.64.0.9 Returned 304 in 7 ms
 HTTP  3/29/2026 4:16:13 PM 100.64.0.8 Returned 304 in 5 ms
 HTTP  3/29/2026 4:16:13 PM 100.64.0.12 Returned 304 in 5 ms
 HTTP  3/29/2026 4:16:13 PM 100.64.0.12 Returned 304 in 7 ms
 HTTP  3/29/2026 4:16:21 PM 100.64.0.10 GET /assets/SeasonProvider-DVQ7wusg.js
 HTTP  3/29/2026 4:16:21 PM 100.64.0.14 GET /assets/MatchDetailWrapper-e_wX8hQR.js
 HTTP  3/29/2026 4:16:21 PM 100.64.0.11 GET /assets/SeasonDetailPage-Ch8NlM97.js
 HTTP  3/29/2026 4:16:21 PM 100.64.0.10 Returned 304 in 3 ms
 HTTP  3/29/2026 4:16:21 PM 100.64.0.14 Returned 304 in 2 ms
 HTTP  3/29/2026 4:16:21 PM 100.64.0.11 Returned 304 in 2 ms
 HTTP  3/29/2026 4:16:21 PM 100.64.0.10 GET /assets/ShareButton-DaHRy_FR.css
 HTTP  3/29/2026 4:16:21 PM 100.64.0.10 Returned 304 in 1 ms
 HTTP  3/29/2026 4:16:21 PM 100.64.0.14 GET /assets/MatchLineupTab-C782eTA9.css
 HTTP  3/29/2026 4:16:21 PM 100.64.0.11 GET /assets/index-DMvSBcIz.css
 HTTP  3/29/2026 4:16:21 PM 100.64.0.14 Returned 304 in 1 ms
 HTTP  3/29/2026 4:16:21 PM 100.64.0.11 Returned 304 in 1 ms
 HTTP  3/29/2026 4:16:21 PM 100.64.0.14 GET /assets/SeasonDetailPage-Ch8NlM97.js.map
 HTTP  3/29/2026 4:16:21 PM 100.64.0.14 Returned 304 in 2 ms
 HTTP  3/29/2026 4:16:21 PM 100.64.0.10 GET /assets/MatchDetailWrapper-CLWgiOfL.css
 HTTP  3/29/2026 4:16:21 PM 100.64.0.10 Returned 304 in 2 ms
 HTTP  3/29/2026 4:16:21 PM 100.64.0.10 GET /assets/seasonProviderHelpers-hChM9sgP.js
 HTTP  3/29/2026 4:16:21 PM 100.64.0.14 GET /assets/ShareButton-CAr5BUKt.js
